word,freq,ig
registration,814,0.015146716937532223
business,809,0.08301579756409183
need,806,0.03659155864143637
even,798,0.019518427789674275
international,797,0.004969177355867216
area,790,0.0054252561882298656
structure,789,0.037758552203338014
discourse,779,0.030470564603785832
discussion,777,0.043900390057647676
reference,772,0.0292172723341525
different,768,9.609597726778496e-06
present,759,0.013298078405949654
world,746,0.0063342834253172775
both,743,0.0027400709342483287
where,739,0.004344873909508551
place,738,0.004465656684778718
la,733,0.004583598027236846
read,730,0.011534332343163922
phone,730,0.014240763617235142
internet,728,0.07193055700087592
syntax,722,0.041976513711322716
john,711,0.019088793456666253
want,706,0.06232889456998203
check,705,0.06427830422409908
etc,698,-1.6706562141477477e-06
change,694,0.0020410156778095656
below,690,0.011716873089479107
topic,687,0.03362612569860213
site,684,0.031071573546971654
submit,680,0.016015995849615106
subject,679,0.010318704767464437
much,678,0.018740553383048697
type,671,0.010947988894837057
part,669,0.0010011538680027021
invite,668,0.019553710711556427
application,668,0.009960339528966689
learn,662,0.0012654139572600975
base,656,0.002031081885772945
approach,652,0.014994036858980264
special,652,0.003826082114611107
letter,644,0.013540312987120773
within,642,0.007718957478470734
course,638,4.64199534914167e-05
further,626,0.0014762279756395102
before,623,0.012412818006925286
software,622,0.01480654732498543
after,620,0.00950954104484536
point,608,0.003179043031332651
second,607,0.009424354992757067
datum,605,0.016068611889902606
offer,605,0.046305162834374025
start,600,0.04144741348899239
same,600,0.004993337699568889
title,598,0.003031450947416303
note,594,5.31276427164773e-05
problem,592,8.747609801396106e-05
school,590,0.007427122318868662
semantic,588,0.029327117584839857
publish,584,0.008385279404398482
thank,582,0.006828406183225666
show,579,0.010288114599119824
teach,577,0.0010284930340278553
committee,576,0.03057765397986789
development,574,0.029863422496480774
post,573,0.005714724860656273
through,573,0.00896172433300002
acquisition,571,0.026154352225401856
week,571,0.03782363625645491
html,569,0.0008755511878644207
le,567,0.0065117318300111915
general,566,0.015078920414132835
speak,553,0.018380120119212306
verb,553,0.02114220059551508
hold,541,0.00998574720163481
method,540,0.00023612675003814587
position,539,6.833490577529133e-05
message,539,0.025429970350133058
pp,538,0.019713689714917604
knowledge,537,0.00047352840048542344
file,537,0.00948848024163329
relate,537,0.010922734355001906
possible,535,0.0021851447738235885
natural,534,0.012179253913662924
ed,531,0.014065509849007785
technology,529,0.00014680795492938437
help,527,0.012652500942510025
service,527,0.05924846430639319
chair,527,0.018729727812336838
member,527,0.0033737059827183558
institute,524,0.021687684043237954
mean,524,0.00508250835132118
communication,522,0.00622873292017001
translation,521,0.020701743720322963
deadline,521,0.03827648547458906
german,518,0.019979529990044154
minute,517,-2.967867396841406e-06
field,516,0.0023469572471414013
accept,516,0.0004353963374211789
publication,514,0.014337936423475028
american,513,0.000156511919263691
market,509,0.09149749458653345
ask,507,0.004062106749584737
presentation,506,0.01613235706679539
best,505,0.06524450989428088
review,504,0.005589968680601354
result,504,0.0017534676634084478
detail,503,3.3337385813791975e-05
aspect,503,0.025100340457626547
seem,500,0.003590218863928185
every,497,0.061336390683894626
own,496,0.025196022955900288
three,492,0.005773813643720871
model,491,0.008437183393375514
level,491,0.00028627691571292413
computational,489,0.02536771984000097
break,489,0.0038056906133562274
french,489,0.023309507612268465
require,487,0.008384680801023059
experience,486,0.003281353581558455
home,486,0.028582126249854012
press,486,0.0064922518724847
apply,485,0.007195675680203295
fee,484,0.0002845190448556023
important,484,1.2106396104494266e-05
dr,483,0.008293589551712333
phonology,480,0.025592206953597874
group,480,0.0006618215055333998
cognitive,480,0.024919379470720426
spanish,479,0.012855059199635144
participant,477,0.004644732927292061
least,475,0.00028195357595750536
link,474,0.005869647330479899
card,473,0.025424021598981383
product,469,0.07863124349847361
lexical,468,0.024695525443975574
response,466,0.0027020416582094198
tel,464,0.026433882069860082
account,464,0.0016648058444023173
cost,464,0.06170666789095203
ca,464,0.0006202016047143211
term,464,0.008781200675978318
since,463,0.0006380460622176232
talk,460,0.00010975324478823545
per,458,0.02286968751750651
feature,458,0.0008661618003290572
date,455,0.0017935291403192721
mark,455,0.007940454798026964
credit,451,0.043836593753760256
focus,450,0.021561124205327187
ll,444,0.059639744214817325
volume,442,0.007263075558819443
social,440,0.006831191744663401
full,438,0.004677009914788921
remove,437,0.16890467063150777
human,436,0.007804640723234613
is,435,0.022506633832557466
et,434,0.012591115796833141
meet,433,-2.5600863030605936e-06
anyone,432,0.0018213247826791568
context,431,0.023579401604372663
tell,431,0.02139252339606923
japanese,430,0.011025036746233674
section,429,0.0033138942573902597
construction,426,0.021252442419976814
set,424,3.460729964488429e-05
request,424,0.009638992006922531
european,423,0.01870879544446391
march,422,0.01117619025468286
above,421,0.003660174426933338
however,421,0.0024062280930596813
york,421,0.0021736877633637963
price,420,0.030484705752300556
several,419,0.0010800187408367412
consider,416,0.0028981832284101783
pay,415,0.04333159681766985
line,414,0.029215544799260806
proposal,411,0.011422360368184337
august,411,0.01832435775553065
box,410,0.00706320614860545
germany,410,0.014595273377925433
limit,408,0.0009438760158330117
opportunity,407,0.023714636727173888
syntactic,405,0.021473079506995174
another,404,0.0003206354602697248
either,401,0.0009623370676683507
let,401,0.013838901224020872
understand,400,1.6264647884067784e-07
few,400,0.008579494981267421
while,400,0.0010656000432091028
four,399,0.0008355461291280619
fact,398,0.001695752296165809
hour,397,0.054575438596131454
under,396,0.0031210620515936816
why,396,0.009529108088052518
sentence,395,0.01753262011127643
try,393,0.02104445124688259
electronic,390,-3.896736075481577e-06
format,390,0.001972238565330575
thing,389,0.00965237333522595
rule,389,0.00010430667437588692
version,388,0.004522430932827115
corpus,388,0.016773958325287275
project,387,0.009287030149488174
child,387,0.0007277450483023085
june,387,0.008934360701832178
little,386,0.011728258323720597
journal,386,0.008135201254806157
back,386,0.032457627580856574
person,382,0.0015338409812557519
contain,380,0.00020942870646656342
support,379,0.0003979762281700605
programme,379,0.01807601137476811
article,378,0.010724873274198465
april,378,0.020208466658337643
right,378,0.028922561714460393
vium,377,0.0009318822444248642
city,377,0.018194213021851535
theoretical,374,0.028189130853900735
plan,372,0.0028737684237952754
semantics,369,0.024025223400674367
current,367,0.0033845876217116766
dialect,367,0.015586663120936262
add,365,0.02237482414356695
wish,361,0.015528890377387694
en,358,0.007195539181740429
particular,357,0.012908231271867243
resource,357,-4.3996915333188724e-07
without,356,0.0066041383854903435
develop,355,0.006798936186686477
open,355,0.0006106617834535921
ve,353,0.024427141022049792
theme,351,0.015041566740542911
object,350,0.008529896869448272
description,350,0.015527525768640693
advance,350,0.003077582089028086
society,349,0.015359408269404295
view,349,0.00524828214364681
allow,349,0.01283333851580648
reason,349,0.0013939398781416257
bulk,349,0.0626035778535401
month,348,0.046112155266759824
company,348,0.07698907624076146
vowel,347,0.00963335420894007
today,346,0.08046223065996583
re,346,0.032350550512325715
still,345,0.0015163577350373325
national,343,0.003967176366639347
million,342,0.07313974860760675
complete,342,0.0051327173523455505
major,342,0.005737531018654929
great,342,0.022972649940321777
college,342,0.005242847742736423
long,341,0.0006070489335315843
education,341,0.0024814388296345857
logic,341,0.009738342277170964
center,340,0.0022358581247433618
sound,339,0.00013841385019286445
standard,339,0.0035823766956403214
various,338,0.007628178199355906
become,338,0.0006607238418437911
canada,337,0.0033391635041292167
representation,335,0.016199715382472113
affiliation,335,0.022214491845838125
morphology,335,0.020481820917473303
again,335,0.02904096073447693
september,334,0.0081288120884897
whether,334,0.002060527396771983
less,332,0.011016567101034047
nl,332,0.01644955962150907
end,331,0.002255350527814337
source,328,0.000428999168342048
content,326,0.004983543563237491
main,326,0.0009408610696948205
reply,326,0.028875688375723185
july,326,0.004652009650937039
discuss,325,0.0165569339688586
involve,325,0.00014208827864470308
room,324,0.00022665136603017277
coffee,324,0.004408856734355315
david,323,0.010014431007615454
evaluation,323,0.0049237931400560875
individual,322,0.0007572184052450082
chinese,320,0.011006788534299261
organize,320,0.015156774047413446
summary,320,0.018122396087818626
search,320,0.01799453386733718
really,319,0.016076010878499747
sign,319,0.004448941830099251
plus,318,0.016769224962709384
answer,318,0.006855159177039494
life,317,0.022643158511979622
original,314,0.0015002212515686786
teacher,314,0.008883868960351982
machine,314,0.00377100751552506
rate,313,0.02039685219152254
hotel,312,0.002458426030986005
code,312,0.017607910787062697
kind,311,0.00012192716492942512
directory,310,0.004649032800237762
lunch,310,0.0031068593357627128
due,309,0.00013013346935852876
hear,309,0.004735734647082435
leave,308,0.01089958564728466
appear,308,0.0017518211245824977
association,308,0.01168486406666136
better,308,0.016159750477643064
sure,308,0.018887953157371684
tutorial,306,0.0011611646575295786
idea,306,0.00013842803731001219
researcher,306,0.019074335175400803
believe,306,0.013397241085468026
rather,306,0.008631248774457978
put,305,0.020747643174738872
material,304,0.00032844116050811945
until,304,0.00938391400035532
argument,304,0.014084131622115414
sell,304,0.07683253975859916
academic,303,0.015882604954869373
constraint,303,0.01580209245142683
formal,303,0.016939956924317157
easy,303,0.06729389602741287
live,302,0.04320737911354011
der,302,0.009528413984146389
future,302,0.02023921191103195
role,301,0.01993290253221547
cover,301,0.005364411615761067
old,301,0.0036746138662749894
never,300,0.028310261240081513
modern,299,0.018182462502979613
london,299,0.0034922684687073158
professor,299,0.01145797281749339
history,298,0.005223015158076216
office,297,0.011504529313463907
user,297,3.19568327602493e-05
dept,295,0.009455218624045192
phenomenon,295,0.0015701389930088405
recent,294,0.009258951752345368
bring,294,0.00012729200947148023
together,294,0.0034022159168410893
begin,293,7.56929430190123e-05
evidence,293,0.01840264452461593
concern,292,0.007211786569583101
move,292,0.008832626639556973
van,291,0.013580401204578041
next,291,0.026631322872696095
lot,290,0.009684589996332371
native,289,0.015909880724088166
grammatical,288,0.018293716847373798
specific,288,0.0020316547676825225
describe,288,0.004823967138618657
deal,287,0.00020554399715910776
win,287,0.06436649720620813
visit,287,0.017288504987942654
lexicon,287,0.014298194394450348
single,287,1.2589111743954717e-05
pragmatic,286,0.018620649965876646
too,285,0.005202098204177941
claim,285,0.000786700882529856
cd,284,0.0330068325524383
family,283,0.014287286325214255
mit,283,0.012591115796833141
build,283,0.002752600692369378
au,283,0.010896367929209338
simple,283,0.028044730451532218
france,283,0.01301672553855604
californium,282,0.004046393663091452
final,282,0.0049142093614908955
movement,282,0.00709717922677533
down,281,0.026412544636586044
principle,280,0.011078103619704849
query,280,0.014962063606771547
dictionary,280,0.011108807327372516
interpretation,280,0.013870263021549034
perspective,279,0.019166541006129245
net,279,0.03180557872690215
phonological,279,0.014619653176792036
relation,279,0.014727306577988153
historical,278,0.018293716847373798
symposium,278,0.009528413984146389
tool,277,0.0018083286471800575
literature,277,0.017364751492881525
off,277,0.03440236566336674
editor,277,0.01136282332863614
welcome,277,0.011987673123866838
contribution,277,0.013454463026283836
country,276,0.004264344741995996
real,276,0.013034052594026346
hard,276,0.007125060010950257
mention,275,0.005073934779853739
print,275,0.016300205660236933
domain,275,0.0002482867091020413
past,273,0.004411895582111414
netherland,272,0.009470903644307138
prof,272,0.007419504392037313
difference,272,0.003141194459825858
select,271,0.004611116528854264
additional,271,0.0115866439543868
access,271,0.00990160400618234
ever,271,0.04519605023168516
far,270,0.00047754698894608705
participate,270,0.00903724945856954
man,268,9.034229278681583e-05
noun,268,0.01248483380664045
local,268,2.6763233380577844e-06
chapter,267,0.01121319795172826
later,267,0.0005395595131139075
able,266,0.005173854366286479
oxford,265,0.008483997434890034
advertise,265,0.0781483398499141
culture,264,0.01483420249183054
though,264,0.0003457678516279872
something,263,0.001811609713417206
telephone,262,0.0009143102903507172
october,262,0.005932461915095555
japan,262,0.008483997434890034
length,261,0.012628298349631084
design,261,0.0007051019025303695
instruction,260,0.032927716818311525
interaction,259,0.01634152538103595
event,259,0.00042920368931675945
simply,259,0.03794064790004825
introduction,259,0.012958956596507143
relevant,258,0.015889217963317104
indicate,258,0.004370164475671956
comment,258,0.0023365980452157986
direct,258,0.001737825933611492
class,257,0.00017600348405644173
february,257,0.010233064681787862
und,257,0.005989160059923004
category,257,0.0029894173221985954
bank,257,0.024719619698345907
phrase,255,0.008398790801702027
income,255,0.07309221545019307
share,255,0.002718229255493698
especially,255,0.000958389230288681
short,254,0.0016335570139934807
expect,253,0.00017127410700334966
package,253,0.03246609290714564
return,252,0.024045444822074713
keep,252,0.029625437958967438
early,251,0.009242261319169276
aim,251,0.016822837419770753
robert,251,0.010794493902757774
click,251,0.10116029642806634
accommodation,251,0.008773163033391929
variety,249,0.014962063606771547
effect,249,0.006953509604703534
assume,249,0.000469177819070965
january,249,0.0015990177951454854
wide,249,0.002692406777561218
encourage,248,0.007409871368462717
cambridge,248,0.013336439429756042
payment,248,0.007444557245039007
cash,248,0.06186733442602721
around,248,0.0008548244283235196
michael,247,0.009143136231666738
comparative,247,0.01227241419225511
centre,246,0.010809796909269975
already,246,0.009712402058287273
buy,244,0.0640973295053956
continue,244,0.001868150370075372
december,244,0.0021653782303111546
notification,244,0.014070214909401746
style,244,0.009376203195230581
once,243,0.0268560308105511
pattern,243,0.014084131622115414
summer,242,0.0025817642465429946
cannot,242,0.005773164100506434
south,241,0.0026569672248581977
washington,240,0.0010100379307638185
save,240,0.06731938287478278
alway,239,0.011412564652281243
means,239,0.0006399827794221213
sociolinguistic,239,0.014405298673381584
st,238,2.7186952747504378e-05
run,237,0.013130356774980867
sense,237,0.005447486691897985
index,236,1.6666864095848943e-05
friend,236,0.03755051535407661
dialogue,236,0.00785589195010472
remember,236,0.02182015858455999
common,236,0.005138334587111881
russian,235,0.006802789612239901
du,235,0.005989160059923004
acceptance,234,0.011310963417252462
total,234,0.02087277808829724
propose,234,0.003980548034870468
amount,234,0.02582347749000724
exist,233,-3.795184723487388e-06
basis,232,0.0003420098030054719
small,232,0.008828717979765477
suggest,231,0.00711749297013442
paul,229,0.0015556112017802715
peter,228,0.008022238806569937
phonetic,227,0.011530459108184732
among,226,0.011839765009545644
mt,226,0.0008753944517400081
range,225,0.004306409916714937
join,224,0.02237251843772281
regard,224,0.0009500171923020329
large,224,0.0021574721626885784
personal,223,0.02388510254161047
lead,223,0.0015928102330037275
thus,223,0.0055483566546780105
ago,223,4.484581616404082e-05
although,223,0.004657877187582593
financial,223,0.03994802403069486
intelligence,222,2.616425205481665e-05
express,222,0.0015814169270631506
function,222,0.007087602952897343
technical,221,0.00026898261009367097
functional,221,0.006956103900002675
are,221,0.01691962908567446
north,221,0.006920122511519411
database,220,0.001535922159902836
matter,220,0.0032619684368704327
degree,219,0.0016729164058426615
associate,219,0.00012303847531669465
train,219,0.0003788922960242802
dollar,217,0.0618215858148109
organization,217,0.0008726925998098212
register,217,0.00038473512876691096
expression,216,0.012166276522556863
november,216,0.007755613932454608
soon,216,0.009518249876594997
game,216,0.014501478544898472
step,215,0.03157583877135095
directly,215,0.00010349907187023888
ftp,215,0.003606881462739131
graduate,215,0.009376203195230581
technique,215,3.76512589684852e-05
gruyter,214,0.006402604313586857
addition,213,0.0029722012082314953
lose,213,0.020420070351338304
benjamin,213,0.0067132123372868335
success,213,0.04686524984242224
america,212,0.00035939410683483164
quite,212,0.003639406879231588
berlin,211,0.009184762373622646
hand,211,0.009242458789189723
poster,210,0.006704894992441979
yet,210,5.2822260912077645e-05
foreign,210,0.0015363040084740431
variation,209,0.011954145349574063
community,209,0.0032524768141072302
represent,209,0.00726123679266566
refer,208,0.001720205705001976
universal,207,0.004763790101811383
clause,207,0.009948461917588691
org,206,0.00022820279785407127
document,206,0.0008019539469061865
create,206,0.01950749615681835
parallel,206,0.01036927513152397
mind,206,0.0038631352946091324
organizer,204,0.009318677103212547
record,204,0.007433512080581628
pari,204,0.005568397107390544
certain,203,0.00018269956931893372
head,203,0.0020521306950247453
someone,202,0.012714146392782233
control,202,0.005391187305167633
nlp,202,0.0067132123372868335
georgetown,201,0.002290980333715553
william,201,0.006753434039378892
ship,201,0.0338914414220679
stanford,200,0.0010679612362181068
relationship,200,0.005999264711958108
announce,200,0.002490333746360762
bill,200,0.02533519059709899
thousand,200,0.0684633978333754
basic,199,0.0030428087633647127
vol,199,0.00041662297563105355
purchase,198,0.06481442253705139
announcement,198,0.005283417288540315
everyone,198,0.020097065772662126
legal,198,0.03228214223316983
interface,197,0.0059878379816882266
hall,197,0.008157378931921144
high,197,0.010741977798477964
close,197,8.226352900375655e-05
job,196,0.014981377188678202
non,196,0.00410873767194031
play,195,0.0031086544888204726
friday,195,0.0012685509821184215
raise,195,0.0018139311714288064
guide,194,0.006361116223703278
test,193,0.008680267045971468
explain,192,0.0002745998314712672
travel,192,0.0029428870818650754
during,192,0.005296292366879007
toward,192,0.003784825700829275
edinburgh,192,0.007439689277038641
actually,191,0.0018808773047254146
annual,191,0.0026569672248581977
century,191,0.0029636966477417648
framework,190,0.013336439429756042
intend,190,0.004516596258598904
amsterdam,190,0.005975636173411902
fr,190,0.008064283808587924
video,189,0.02470064839011321
often,188,0.004037961694584147
perhap,188,0.006491763192586264
ad,188,0.03831654600868817
pronoun,188,0.007439689277038641
nothing,188,0.021518695915362818
along,187,0.0031779669675395805
charge,187,0.01826028936678803
website,187,0.005390477411916672
extend,187,0.007935156096039564
universite,187,0.006299167912083958
proceedings,187,0.01301672553855604
west,187,0.004361056795819329
guarantee,187,0.06872953857520303
stop,187,0.015590415408154201
five,186,5.883458562339072e-06
art,186,0.002599995311245329
lecture,186,0.010158772871193933
philosophy,186,0.007195539181740429
artificial,186,0.0014781606799644242
faculty,186,0.011424657462107413
cultural,185,0.011424657462107413
respond,185,8.985149401363746e-05
else,185,0.015141003034733647
sale,184,0.04258070222847854
similar,183,0.004247716524448442
regular,183,2.7186952747504378e-05
anything,183,0.010586445395662225
feel,183,0.004353484144480335
separate,183,0.0018531688444000105
choose,183,0.02354317000001549
adult,183,0.026460434140888833
participation,183,0.002400088025310665
ffa,183,0.0007713101675806966
dear,182,0.0040352123059014255
texa,182,0.004925405306964614
morphological,182,0.010685387269688373
potential,181,0.010745613754280292
mouton,181,0.007128048044380164
prefer,180,0.001579709953445696
whole,180,0.001469641671573818
concept,180,0.004604852659868985
inc,179,0.0011573641759510256
forum,179,0.0063229493861203245
decide,179,0.02046797232863362
url,178,9.481839429936745e-05
co,178,0.00048063846374890584
postal,178,0.005600203325877184
univ,178,0.007128048044380164
dissertation,177,0.010790853670778477
network,177,0.0013606058847828173
property,177,0.0011886425897822406
voice,176,2.9907210580271126e-06
richard,176,0.004410973435057475
clear,176,0.00011231713002468613
discipline,176,0.01019358427415673
figure,176,0.0024013998363834332
comparison,175,0.005359205849828852
chomsky,175,0.006816847428578021
anonymous,175,0.007132542096276451
happen,175,0.009017487813934966
latin,175,0.005829479864609466
central,175,0.008483898915572552
nature,174,0.006013586562124584
online,174,0.04080080375562245
isbn,173,0.012060186915329063
lo,173,0.001316929456175564
background,172,0.0018035806027517642
series,172,9.881837050940145e-05
hope,172,0.0003591642539356732
situation,172,0.0016942245781139675
ph,172,0.008436551938425296
dan,172,0.006900802918548887
ready,171,0.009149768340352082
ny,171,0.0014135472725683718
action,170,0.010716319010661612
space,170,0.0005954816716954303
ii,170,0.005622142723917256
multiple,170,5.844921524789104e-05
street,169,0.003718280773154392
status,169,0.00582158085775164
produce,169,0.006479056760247737
item,169,0.0005916966187923256
martin,169,0.008195757812323512
initial,169,0.004094909752671683
attention,168,4.807409719387312e-05
professional,168,0.011413869957521472
server,168,0.011796473984368894
practice,168,0.0012244478133395242
panel,168,0.007335760079208664
requirement,167,0.0004758762032265329
woman,167,0.002010976982056767
fund,167,2.129795768279763e-05
effort,166,0.01534065096326731
compare,166,0.0005302664788393585
ma,166,0.0009550522719233845
consist,166,0.008717009256418162
europe,166,0.0010761892081364577
hypothesis,166,0.007647693592157001
jame,166,0.008580197183243654
drive,166,0.0033734005585722704
fill,166,0.028039043000684494
handle,166,0.005500893407879848
argue,166,0.010896367929209338
enough,165,0.005002918586762051
cloth,165,0.009004430904522742
dutch,165,0.008899778007854908
generation,165,0.0030821263161341372
complex,165,0.012591115796833141
distinction,164,0.010158772871193933
across,164,-6.306001914313519e-06
terminology,163,0.005782741407628134
parse,162,0.007439689277038641
ling,162,0.008984073894038547
pass,162,0.012531447854695843
probably,162,0.0011953616439093206
true,162,0.01800931101364467
condition,162,0.002566901874577643
goal,162,0.008055189731823398
consonant,162,0.006402604313586857
house,161,0.0025384526843010846
against,161,0.006140862996171448
creole,161,0.0036283560348068233
die,161,0.0005783880327951962
candidate,160,0.0021091925679247447
ability,160,0.001560941969924623
third,159,0.0006311173314565988
psychology,159,0.008185114610330224
increase,159,0.010904829978793162
reach,158,0.01065116038565872
plenary,158,0.007751768551645499
immediately,158,0.030461703343868662
un,158,0.0037415109815528425
inquiry,157,0.0002482381958499591
quality,157,0.004287348349857334
statement,157,0.004513454575511555
reader,157,0.0009689398950593064
road,157,0.0008010609577384642
agreement,157,0.0021091925679247447
task,157,0.003992783150687074
appropriate,156,0.0063229493861203245
identify,156,0.007236604380913558
greek,156,0.0062172625394980585
period,156,0.0023466724108923698
exactly,156,0.021263106216590555
unite,156,0.005391187305167633
romance,156,0.0006856383071417449
key,156,0.000337975508000965
six,155,0.002089211166335425
connection,155,0.0026153023043761214
syllable,155,0.00619578160444445
acl,155,0.004446138054149951
explore,154,0.00643125279555623
mary,154,0.0002355793528870942
turn,154,0.011581254405845454
se,154,0.003926184418137857
jan,154,0.0067732510027271875
east,154,0.005294632269468913
successful,153,0.007585948386057639
engineer,153,0.002794469908751429
notion,153,0.010685387269688373
arabic,153,0.005885925254366486
double,153,0.0013715006850202327
error,153,0.007972068108622277
san,153,0.00023643162326592027
virtual,152,0.002099605319297093
origin,152,0.006679580181209288
gender,152,0.007231879636681149
england,152,0.001920452770609482
font,151,0.002192742684977378
generate,151,0.02091920064018793
top,151,0.021726083782451777
saturday,151,4.219605275068705e-05
prove,151,0.02226648805925202
element,151,0.0009732236109873948
earn,150,0.05294473635108088
particularly,150,0.011313085080891128
value,150,0.005317492267004842
aol,150,0.02947377923437422
capitalfm,150,0.015561343404838612
floodgate,150,0.004564026944092303
scientific,149,0.007986360052998465
necessary,149,0.0010451920658105518
australium,149,0.0053856940281064025
verbal,149,0.007887136112504689
finally,149,0.004894437399593388
congress,149,0.000997867171183886
currently,148,7.282459404067687e-06
obtain,148,-6.927188862082545e-06
tense,148,0.007543667141978405
rest,148,0.006360683572759429
colloquium,148,0.0039345664556130755
occur,147,0.0039037210021796165
label,147,-1.4305696205640928e-05
therefore,147,0.0039804253333205475
dinner,147,0.003417306142346588
latex,147,0.005829479864609466
conceptual,146,0.004965326317502017
attend,146,0.002187883430891935
al,146,0.005751851198657731
character,146,0.003454673096025762
sex,146,0.01837348246720394
shift,146,0.0036889542800822017
seminar,145,0.00020499096902393266
info,145,0.008849434139809542
away,145,0.01616625554019191
collection,145,0.0003732698133839252
influence,145,0.006064509038865129
power,145,0.005237623374236833
attempt,145,0.0021295497932073415
usd,145,-1.6161094741562465e-05
contribute,144,0.006782261301401582
schedule,144,0.0017875257745813
british,144,0.004842363808801098
utrecht,144,0.005576527641067419
maria,144,0.006704894992441979
manchester,144,0.0037415109815528425
age,144,0.005042590218441556
typology,143,0.008064283808587924
campus,143,0.009109131732657372
susan,143,0.007294011724612304
asian,143,0.001920452770609482
explanation,143,0.005936031733085101
ye,143,0.015950949862641894
manual,142,0.0067496177722315975
anywhere,142,0.040696591692943374
clearly,142,0.0014873839383944265
production,142,1.576893524868339e-05
recently,142,5.16565331507568e-05
pacific,142,0.00017911606660925283
italy,141,0.0005751566066029001
act,141,0.0008416464693956627
establish,140,0.00010551254558466283
choice,140,0.003135966243942079
korean,140,0.00619578160444445
public,140,0.001935518827637095
il,140,0.00043183668834279043
night,140,0.0012749851454103567
track,140,0.005617270375429806
computation,140,0.0039345664556130755
demonstrate,140,0.00021408501504027733
chance,140,0.01946508190360241
publisher,140,0.0016917958728641658
window,139,0.01949206737261744
upon,139,0.002103033133785237
longer,139,0.00032291834993891655
exchange,139,0.0014865776291450583
bind,139,0.002172636993374888
sample,139,0.00040749313976629065
germanic,139,0.00619578160444445
bilingual,139,0.005540088762081674
almost,139,0.009323975246184668
introduce,138,5.473160603264304e-05
useful,138,0.0010100379307638185
environment,138,0.006704894992441979
examine,138,0.005534283866509004
advantage,137,0.018928696928206423
indiana,137,0.005347886952850378
berkeley,137,0.006607120721406012
correct,137,0.001085734409717154
mass,137,0.0022609572123569732
institution,137,0.005359205849828852
story,137,0.003899029016817823
activity,137,3.2385518599076235e-05
relative,137,4.541026759030675e-05
music,137,0.0009353648180510099
derive,136,0.0079600637224585
po,136,0.0014243865255926247
table,136,0.0003311951079080222
southern,136,0.0050117055830148916
practical,135,0.005975636173411902
distribute,135,-7.680738299042922e-06
car,135,0.022773118693470984
purpose,135,0.0002310072268180141
psycholinguistic,134,0.009318677103212547
wednesday,134,0.0025830907120285573
determine,133,0.000120904659791643
prepare,133,0.0006470641617483119
previous,133,0.003098779726299017
pa,133,0.0006039553686771892
easily,133,0.013907089526511651
sort,133,0.0002983681172240571
mexico,133,0.0015308602590247133
recognition,133,0.0062172625394980585
traditional,132,4.9511116436917746e-05
el,132,0.001873548316726481
generative,132,0.008586107154653577
themselve,132,0.0018089608046243377
thursday,132,0.0033772652562444883
collect,132,0.005165947019430295
locate,131,0.00019865519879480598
edit,131,0.0020936601711949443
enclose,130,0.008795127552986282
